sex,length,diameter,weight,age
F,139,112,354.3,11.5
M,103,78,122.5,9.5
I,109,81,131.6,9.5
M,124,93,182.2,11.5
M,126,98,239.1,10.5
F,126,103,267.2,12.5
F,128,98,272,10.5
I,74,55,46.5,7.5
I,79,62,63.4,8.5
I,80,60,63.6,7.5
I,82,61,52.9,8.5
I,91,67,81.1,9.5
I,96,67,104.8,8.5
I,97,75,92.8,9.5
I,100,72,87.8,9.5
I,103,79,116.1,10.5
I,104,80,124.4,9.5
M,109,90,156.1,9.5
I,109,86,154.4,9.5
I,110,87,148.2,10.5
M,110,86,165.3,11.5
M,110,77,145.5,9.5
I,111,86,140.1,9.5
M,112,90,187.1,12.5
I,113,93,236.3,10.5
M,114,89,202.9,11.5
F,115,96,220,11.5
M,117,102,243.6,12.5
M,118,90,174.8,9.5
I,119,95,196.8,11.5
M,120,94,202.1,10.5
M,122,73,215.3,10.5
M,123,95,267.4,12.5
M,125,100,274.1,13.5
F,125,98,340.3,12.5
M,126,97,248.7,12.5
M,126,106,282.7,14.5
F,127,97,214.6,12.5
F,127,100,295.4,13.5
M,127,100,258.3,10.5
F,130,99,262.1,10.5
M,134,105,298.3,10.5
F,135,104,298.8,10.5
F,135,102,239.3,12.5
M,136,109,334.4,12.5
M,140,109,382.5,11.5
F,142,109,381.4,12.5
F,143,113,358,10.5
F,144,118,349.9,12.5
I,84,61,68.3,8.5
I,96,70,103.8,8.5
M,96,73,106.1,9.5
M,102,82,256.5,10.5
I,103,80,143.3,9.5
F,112,84,332.9,10.5
I,112,84,167.4,9.5
F,114,90,192.9,10.5
F,121,93,220,11.5
M,125,96,248.3,10.5
F,128,101,263.7,10.5
M,130,105,269.1,10.5
I,60,43,23.7,5.5
M,70,53,39.4,8.5
I,91,70,94.5,10.5
I,92,73,89.9,9.5
I,98,75,111.4,9.5
I,100,77,103.2,9.5
I,108,83,141.8,10.5
M,110,84,147.7,12.5
I,110,89,158.7,11.5
M,111,87,184.1,9.5
I,114,85,153.1,11.5
M,116,90,164.8,11.5
I,116,85,166,12.5
I,117,94,197,11.5
M,117,90,199.4,12.5
F,119,91,182.8,10.5
F,120,100,226,12.5
F,123,99,216.1,10.5
M,126,101,221,12.5
M,126,98,245.8,12.5
F,127,99,247.1,11.5
F,129,107,247.9,11.5
F,130,101,271.4,12.5
M,131,105,280.4,14.5
F,131,100,271.8,14.5
M,134,107,333.8,12.5
M,134,105,348.1,12.5
M,139,106,302,11.5
M,139,110,332.9,12.5
M,154,121,410.1,12.5
I,56,43,24.8,7.5
I,66,46,28,8.5
I,70,50,33.9,7.5
I,74,56,43.6,8.5
I,86,63,76.8,9.5
I,87,66,78.6,7.5
I,88,70,76.1,7.5
M,95,74,97.9,9.5
M,95,72,102.7,9.5
I,96,71,89.9,9.5
F,112,88,160.5,10.5
F,117,95,210.6,12.5
F,117,91,198.9,12.5
M,77,51,63.5,9.5
I,78,62,68.8,8.5
I,78,58,56.9,8.5
I,81,60,60.7,8.5
I,95,73,99.8,11.5
M,100,76,115.4,10.5
F,103,80,123,9.5
M,104,77,158.2,11.5
M,110,86,167.9,11.5
M,112,86,173.5,9.5
F,113,90,177.4,12.5
M,118,88,193.2,11.5
M,120,95,235.2,10.5
F,125,97,218.9,11.5
M,142,111,389.7,13.5
